"Status","Name","Duration in ms","Description"
"passed","test.LoginPage.TestMyAIR7mobile.checkUIElements","4534",""
"passed","test.LoginPage.TestMyAIR114esp.checkUIElements","7664",""
"passed","test.LoginPage.TestMyAIR85.checkUIElements","17578",""
"passed","test.LoginPage.TestMyAIR90.checkUIElements","10071",""
"failed","test.LoginPage.TestMyAIR4esp.checkUIElements","37878",""
"passed","test.LoginPage.TestMyAIR7tablet.checkUIElements","5221",""
"passed","test.LoginPage.TestMyAIR82.checkUIElements","17259",""
"passed","test.LoginPage.TestMyAIR78.checkInvalidPass","31142",""
"passed","test.LoginPage.TestMyAIR79.checkInvalidPass","34433",""
"failed","test.LoginPage.TestMyAIR91.checkUIElements","28370",""
"failed","test.LoginPage.TestMyAIR86.checkUIElements","8887",""
"passed","test.LoginPage.TestMyAIR89.checkUIElements","9769",""
"passed","test.LoginPage.TestMyAIR114eng.checkUIElements","7267",""
"failed","test.LoginPage.TestMyAIR63.checkUIElements","11290",""
"passed","test.LoginPage.TestMyAIR83.checkUIElements","17311",""
"failed","test.LoginPage.TestMyAIR3eng.checkUIElements","36867",""
"failed","test.LoginPage.TestMyAIR9.checkUIElements","19250",""
"failed","test.LoginPage.TestAuthClient.checkUIElements","19578",""
"failed","test.LoginPage.TestMyAIR87.checkUIElements","9117",""
"passed","test.LoginPage.TestMyAIR81.checkUIElements","17364",""
"passed","test.LoginPage.TestMyAIR80.checkUIElements","17067",""
"failed","test.LoginPage.TestMyAIR114ua.checkUIElements","14438",""
"passed","test.LoginPage.TestMyAIR114ru.checkUIElements","6878",""
"passed","test.LoginPage.TestMyAIR84.checkUIElements","17069",""
